TRADE_START,TRADE_END,AVG_ROLLING_1M,AVG_ROLLING_3M,AVG_ROLLING_6M,AVG_ROLLING_1Y,AVG_ROLLING_2Y,MIN_ROLLING_1M,MIN_ROLLING_3M,MIN_ROLLING_6M,MIN_ROLLING_1Y,MIN_ROLLING_2Y,MAX_ROLLING_1M,MAX_ROLLING_3M,MAX_ROLLING_6M,MAX_ROLLING_1Y,MAX_ROLLING_2Y,WIN_COUNT,WIN_AVG,LOSE_COUNT,LOSE_AVG,LOSE_MIN,MAX_DRAWDOWN_VALUE,MAX_DRAWDOWN_RANGE,BTC_ROI,PORTFOLIO_ROI
2018-03-07,2018-04-15,32.476989074133776,,,,,,,,,,63.67595411861965,,,,,1,31.8873,0,,,-18.749043813508166,2018-03-18_2018-03-22,-18.849817439322464,38.06582397783524
2018-03-07,2018-05-08,14.462341441027158,,,,,,,,,,63.67595411861965,,,,,2,25.66755,0,,,-28.376937282565635,2018-04-07_2018-04-18,-5.494623764069246,66.7070990754674
2018-03-07,2018-07-16,21.181475924600164,80.27809718228805,,,,19.4478,19.4478,,,,63.67595411861965,115.64285706723618,,,,3,35.120466666666665,0,,,-28.376937282565635,2018-04-07_2018-04-18,-36.1145253925306,155.31204134509136
2018-03-07,2018-08-02,21.843655281260393,87.79200266396522,,,,19.4478,19.4478,,,,63.67595411861965,135.3794261927639,,,,4,32.628775000000005,0,,,-28.376937282565635,2018-04-07_2018-04-18,-22.814552550317345,217.6377800369009
2018-03-07,2018-08-28,24.172496497969224,91.78808538352956,,,,19.4478,19.4478,,,,65.22152775706546,140.7725347784987,,,,5,28.65962,0,,,-28.376937282565635,2018-04-07_2018-04-18,-30.526760478379373,254.7322657888244
2018-03-07,2018-09-06,23.066386116992255,89.45612689737182,223.25704133904938,,,12.783000000000001,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,1,-9.3883,-9.3883,-28.376937282565635,2018-04-07_2018-04-18,-35.0020619801044,234.5484154427418
2018-03-07,2018-09-21,19.71797790765985,82.39147453289725,182.1750572049099,,,12.783000000000001,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,2,-5.17205,-9.3883,-28.376937282565635,2018-04-07_2018-04-18,-34.45437994749496,229.47140498254922
2018-03-07,2018-09-25,18.83219415600894,80.0473812289787,169.74087915546127,,,12.783000000000001,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,3,-6.320966666666666,-9.3883,-31.244438461088496,2018-08-11_2018-09-25,-34.437481769078346,189.71455324326018
2018-03-07,2018-09-28,18.139773921954657,78.09713812052311,158.35493226138823,,,-17.989363277614217,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,4,-7.4346499999999995,-10.7757,-38.49138244505797,2018-08-11_2018-09-28,-32.5078707289351,159.17818510515065
2018-03-07,2018-09-29,17.87528040871494,77.37736311285951,154.37055848628367,,,-17.989363277614217,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,5,-7.70928,-10.7757,-43.03844837321888,2018-08-11_2018-09-29,-33.368068477856355,140.01826342813482
2018-03-07,2018-10-05,16.051741876111535,73.13297004886313,133.3253728820815,,,-17.989363277614217,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,6,-7.1605,-10.7757,-48.06474958886573,2018-08-11_2018-10-01,-33.39532684899264,120.68986347310073
2018-03-07,2018-10-07,15.503428318327098,71.79729759262017,127.62529295344036,,,-29.610282437298466,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,7,-6.406342857142858,-10.7757,-48.34539605048399,2018-08-11_2018-10-07,-33.614097908850425,117.65643638474592
2018-03-07,2018-10-08,15.199281364516464,71.09878366807956,124.97209629365781,,,-29.610282437298466,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,8,-5.9998249999999995,-10.7757,-49.4726583690171,2018-08-11_2018-10-08,-33.4744867681228,112.906503554702
2018-03-07,2018-10-10,14.604988593273124,69.68910444469478,120.87362899492715,,,-29.610282437298466,19.4478,242.50218917302482,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,9,-5.731244444444444,-10.7757,-50.86613341529296,2018-08-11_2018-10-10,-33.167905531135915,107.03483308250364
2018-03-07,2018-10-15,13.274002087230865,66.36822049961073,114.53051372756076,,,-29.610282437298466,-17.516251947157244,51.754446587154774,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,10,-5.60053,-10.7757,-52.29009968295516,2018-08-11_2018-10-11,-36.16391233064102,114.24925360331824
2018-03-07,2018-10-19,12.121911701841643,63.42938509768105,107.68480349695105,,,-29.610282437298466,-17.516251947157244,51.754446587154774,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,11,-5.5472636363636365,-10.7757,-55.20089068353627,2018-08-11_2018-10-19,-33.26637765417074,88.76951407007212
2018-03-07,2018-11-07,8.860886567001153,50.07364979377875,80.36425561802618,,,-40.88836439168089,-40.168492439192754,15.336965830181,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,12,-5.165541666666667,-10.7757,-57.46303064024018,2018-08-11_2018-10-21,-33.98062744545811,81.10887852788937
2018-03-07,2018-11-09,8.66771040497173,48.721524889147894,77.99738649451612,,,-40.88836439168089,-40.168492439192754,15.336965830181,,,65.22152775706546,140.7725347784987,269.46106983631205,,,5,28.65962,13,-5.064838461538462,-10.7757,-58.15461440680676,2018-08-11_2018-11-09,-34.852191231052416,76.32344091267333
2018-03-07,2018-12-20,14.916690749007811,34.55865976492721,59.13979537594699,,,-40.88836439168089,-49.48872017820838,15.336965830181,,,95.66560094140787,140.7725347784987,269.46106983631205,,,6,36.026266666666665,13,-5.064838461538462,-10.7757,-59.05866511762918,2018-08-11_2018-11-14,-62.78377372534425,222.19210063942717
2018-03-07,2018-12-25,14.593449137811842,33.619838007481356,56.84237346857915,,,-40.88836439168089,-49.48872017820838,15.336965830181,,,95.66560094140787,140.7725347784987,269.46106983631205,,,6,36.026266666666665,14,-6.0399142857142865,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,-61.7984489886239,157.72627259970898
2018-03-07,2019-01-06,12.964273136576887,32.09500672563962,50.993606334185976,,,-40.88836439168089,-49.48872017820838,15.336965830181,,,95.66560094140787,140.7725347784987,269.46106983631205,,,6,36.026266666666665,15,-6.708526666666668,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,-61.91110351140124,134.40909362191456
2018-03-07,2019-01-10,12.21319076896219,31.443659045963265,48.76629524385745,,,-40.88836439168089,-49.48872017820838,15.336965830181,,,95.66560094140787,140.7725347784987,269.46106983631205,,,6,36.026266666666665,16,-6.99361875,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,-59.89036300908277,103.3477434228393
2018-03-07,2019-02-08,9.190251995072055,29.04179329336068,32.974322342647746,,,-40.88836439168089,-49.48872017820838,-40.389436036358354,,,95.66560094140787,140.7725347784987,269.46106983631205,,,7,31.592257142857143,16,-6.99361875,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,-65.86386907935102,119.54850457766662
2018-03-07,2019-03-26,8.317745631839585,20.54963480353155,16.625356419669977,76.31184998444583,,-40.88836439168089,-49.48872017820838,-44.509316018126825,90.05680742500064,,95.66560094140787,140.7725347784987,269.46106983631205,110.85563134411517,,8,29.108712500000003,16,-6.99361875,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,-60.42808718655389,116.94144752891982
2018-03-07,2019-03-27,8.295815227845607,20.409587052948893,16.478274257756226,74.78385478246948,,-40.88836439168089,-49.48872017820838,-44.509316018126825,90.05680742500064,,95.66560094140787,140.7725347784987,269.46106983631205,110.85563134411517,,8,29.108712500000003,17,-6.8847000000000005,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,-60.142125750611044,107.19920072274964
2018-03-07,2019-07-15,17.88922168707775,56.63832911797875,60.95037291975765,159.0911906776792,,-40.88836439168089,-49.48872017820838,-44.509316018126825,27.856363508392008,,105.9716361931552,424.5835055031741,450.1993529474315,332.0289325138245,,9,59.20502222222222,17,-6.8847000000000005,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,0.6669751254790128,710.8476010198649
2018-03-07,2019-08-01,16.977756464692547,59.89443512923895,72.6831236323287,158.27862833281924,,-40.88836439168089,-49.48872017820838,-44.509316018126825,27.856363508392008,,105.9716361931552,424.5835055031741,450.1993529474315,332.0289325138245,,9,59.20502222222222,18,-6.6822333333333335,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,1.0171094056468064,705.2064162340426
2018-03-07,2019-08-14,16.61281262518152,61.25621483308628,84.70130795274962,158.12251615273783,,-40.88836439168089,-49.48872017820838,-44.509316018126825,27.856363508392008,,105.9716361931552,424.5835055031741,476.79778866080665,332.0289325138245,,10,54.16463,18,-6.6822333333333335,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,8.279302748971517,776.3262814864053
2018-03-07,2019-08-20,16.621587174582803,61.191644642502844,88.95486289972581,156.98452682794095,,-40.88836439168089,-49.48872017820838,-44.509316018126825,27.856363508392008,,105.9716361931552,424.5835055031741,476.79778866080665,332.0289325138245,,10,54.16463,19,-6.6256,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,9.544151520333145,702.1072523098039
2018-03-07,2019-08-21,16.589685654254637,61.121843585475375,89.41709168812602,156.6315069914848,,-40.88836439168089,-49.48872017820838,-44.509316018126825,27.856363508392008,,105.9716361931552,424.5835055031741,476.79778866080665,332.0289325138245,,10,54.16463,20,-6.836995,-18.7159,-59.05866511762918,2018-08-11_2018-11-14,7.556302115289824,672.929918189799
