CANDLE_START,PROFIT_PORTFOLIO,PROFIT_BTC
2018-03-08 08:00:00,0.0,0.0
2018-03-09 16:00:00,24.776249771067317,-12.439573498027555
2018-03-11 00:00:00,28.101257670502005,-14.108981924594206
2018-03-12 08:00:00,7.251580390081125,-3.640848315333373
2018-03-13 16:00:00,14.00806245484241,-7.03311938174999
2018-03-15 00:00:00,36.836925479651654,-18.494955700704903
2018-03-16 08:00:00,34.339899088495805,-17.241257356269816
2018-03-17 16:00:00,40.570892646179786,-20.36969297678329
2018-03-19 00:00:00,32.41424836627615,-16.274433324710603
2018-03-20 08:00:00,31.49851772391627,-15.814666461876733
2018-03-21 16:00:00,21.124195213647006,-10.605962620448823
2018-03-23 00:00:00,25.46978994547881,-12.787783741835357
2018-03-24 08:00:00,20.58944877040517,-10.337478982086271
2018-03-25 16:00:00,26.999160747960737,-13.555644926598982
2018-03-27 00:00:00,34.602945231257216,-17.373326650714603
2018-03-28 08:00:00,39.97576835838676,-20.07089503977236
2018-03-29 16:00:00,48.248338099828715,-24.224358145249955
2018-03-31 00:00:00,58.391815984430565,-29.317160318178882
2018-04-01 08:00:00,64.2885175427827,-32.27775577184247
2018-04-02 16:00:00,58.00439148189369,-29.12264356851839
2018-04-04 00:00:00,50.02626436237977,-25.11701319278277
2018-04-05 08:00:00,60.98806330013221,-30.620675160059495
2018-04-06 16:00:00,66.32143956882166,-33.29843820733364
2018-04-08 00:00:00,59.29768491218043,-29.771975845566846
2018-04-09 08:00:00,54.930152896828346,-27.579140529004725
2018-04-10 16:00:00,61.55420622254064,-30.9049222337192
2018-04-12 00:00:00,59.67987666818952,-29.963865356011134
2018-04-13 08:00:00,35.488285691859645,-17.81783531656212
2018-04-14 16:00:00,38.16523805977808,-19.16187027096941
2018-04-16 00:00:00,33.38950396883091,-15.231116212895298
2018-04-17 08:00:00,25.261081070730267,-17.83208303692686
2018-04-18 16:00:00,24.6108703967913,-18.040140173316953
2018-04-20 00:00:00,32.17560895638727,-15.619543426243295
2018-04-21 08:00:00,46.05266473859919,-11.179104960227647
2018-04-22 16:00:00,50.15634988082211,-9.865990590441688
2018-04-24 00:00:00,58.051720094431694,-7.339596941085187
2018-04-25 08:00:00,61.58887879224153,-6.207762077216591
2018-04-26 16:00:00,49.54245500460191,-10.062427245683242
2018-04-28 00:00:00,53.003508421974985,-8.954944868395515
2018-04-29 08:00:00,61.6990893435794,-6.172496443122306
2018-04-30 16:00:00,61.7505630394765,-6.156025674190001
2018-05-02 00:00:00,53.99982443765127,-8.636139494276657
2018-05-03 08:00:00,60.20603637301926,-6.650249789820855
2018-05-04 16:00:00,74.06319741387215,-2.2161773265213713
2018-05-06 00:00:00,82.87625204635822,0.6038608290758563
2018-05-07 08:00:00,65.63130076266059,-4.914250953889934
2018-05-08 16:00:00,57.27751005199728,-7.6929606156631944
2018-05-10 00:00:00,50.80764614122438,-5.791243613787753
2018-05-11 08:00:00,69.13778130182,-11.179104960227647
2018-05-12 16:00:00,85.81091624722302,-16.079916575050117
2018-05-14 00:00:00,73.40163476012587,-12.432399114014112
2018-05-15 08:00:00,71.62809448830457,-11.911094224924021
2018-05-16 16:00:00,87.77147065121547,-16.656191392355954
2018-05-18 00:00:00,98.0940319503003,-19.690349544072955
2018-05-19 08:00:00,89.07678804065249,-17.039869365582355
2018-05-20 16:00:00,79.29395502742912,-14.164356043458588
2018-05-22 00:00:00,84.26392434507221,-15.625202095324322
2018-05-23 08:00:00,101.76246541426721,-20.768629146996066
2018-05-24 16:00:00,113.00462745518614,-24.0730897949945
2018-05-26 00:00:00,115.43512362145417,-24.78749676647481
2018-05-27 08:00:00,120.36624625355437,-26.23692443251633
2018-05-28 16:00:00,124.00408365545653,-27.30621079350709
2018-05-30 00:00:00,113.65677048593726,-24.264777210114474
2018-05-31 08:00:00,111.97226819248421,-23.76964366552416
2018-06-01 16:00:00,115.27286135971747,-24.739802269934692
2018-06-03 00:00:00,107.98171663689169,-22.596682403155924
2018-06-04 08:00:00,109.72947371034383,-23.11040871758391
2018-06-05 16:00:00,111.07845064901925,-23.506919743904806
2018-06-07 00:00:00,105.92181097518333,-21.991204811485485
2018-06-08 08:00:00,109.30731680904573,-22.986322188449847
2018-06-09 16:00:00,110.54662921065763,-23.35059901054129
2018-06-11 00:00:00,140.77588230661894,-32.23602308736985
2018-06-12 08:00:00,135.9427358283216,-30.81539400504431
2018-06-13 16:00:00,155.89068074258873,-36.678785649615214
2018-06-15 00:00:00,143.96337317700608,-33.172937010929324
2018-06-16 08:00:00,149.57448469409613,-34.82223695272587
2018-06-17 16:00:00,147.72084461934122,-34.27738795835219
2018-06-19 00:00:00,140.30456544043028,-32.09748674254673
2018-06-20 08:00:00,143.25622598973408,-32.965081969863554
2018-06-21 16:00:00,140.3004401286912,-32.09627417060079
2018-06-23 00:00:00,160.3484238526308,-37.989070684860636
2018-06-24 08:00:00,170.94016174268987,-41.10234915604993
2018-06-25 16:00:00,155.66653880476602,-36.61290257388605
2018-06-27 00:00:00,162.24812990847198,-38.54746006596391
2018-06-28 08:00:00,161.02910028957714,-38.189145055939996
2018-06-29 16:00:00,169.2185316435852,-40.5963024639462
2018-07-01 00:00:00,152.2593750842734,-35.61141919420551
2018-07-02 08:00:00,153.1432231243689,-35.871212733622194
