YEAR,PROFIT_PORTFOLIO_CHANGE,PROFIT_BTC_CHANGE
2018,133.27193466045898,-61.82439976262083
2019,427.6237791577382,95.95655499133858
2020,578.0692857842379,305.74653547015333
2021,286.0202841836199,62.35133279278276
2022,34.66134393389075,-64.46271904677906
2023,185.77535001288996,156.3140703958398
2024,122.64662685921523,117.65626695841314
2025,64.719441901975,-6.510090873902594
2026,113.02637317144826,-31.50378382773657
