MONTH,PROFIT_PORTFOLIO_CHANGE,PROFIT_BTC_CHANGE
2018-03,59.85826090312463,-29.641215461833255
2018-04,4.45311532814373,35.1291257776739
2018-05,44.11256605067451,-17.71131467189876
2018-06,20.65272861166381,-17.010870143551877
2018-07,37.741245282218486,27.509141413348786
2018-08,5.960978584378381,-9.469723627586694
2018-09,-35.32160049750107,-6.624701516480778
2018-10,-11.608607889031223,-4.579354621322883
2018-11,52.371976082142865,-33.34919886899152
2018-12,-23.165861428381625,-6.138125126744108
2019-01,-14.093031078856711,-5.934637908715727
2019-02,-4.762370382341061,11.517340282271423
2019-03,3.478576838949547,7.25935041302839
2019-04,52.93568244534074,27.22693846456187
2019-05,89.19697169664171,55.73335432433344
2019-06,53.90196301780769,41.33524497466221
2019-07,-6.342048760185351,-12.623314706524082
2019-08,1.75159584591205,-4.436812831200167
2019-09,7.3672218599719255,-16.72517380571608
2019-10,20.086948156236865,11.447547825153741
2019-11,16.03074414875283,-14.960352944270571
2019-12,4.003469755155593,-3.0694020942142353
2020-01,46.82357062109437,32.00283683199993
2020-02,7.074711525150018,-7.067196557203548
2020-03,40.06318262515823,-24.65939337213724
2020-04,-16.392838664667224,39.81478544421041
2020-05,18.334737021039878,10.900475566493743
2020-06,-16.18462442124678,-3.4088169369077153
2020-07,23.420579517438487,21.093400570050427
2020-08,6.795024204542595,3.981383936310666
2020-09,-26.975724093847518,-6.915479482372423
2020-10,32.01556983321312,26.204896895271258
2020-11,56.288714808934174,34.27362040514502
2020-12,67.30271160820767,48.83624058098272
2021-01,-11.99644073568418,17.491592553646047
2021-02,89.19612013453427,42.40015829770972
2021-03,13.008587552909637,27.639780782864538
2021-04,-8.454928941899324,-9.85359313565325
2021-05,-4.266004004246046,-38.91720701549969
2021-06,-11.730262857982293,-5.079221795895106
2021-07,45.38342161689349,20.62371878692104
2021-08,20.82768108301394,12.238720360195195
2021-09,1.7517686763845501,-9.464986865502821
2021-10,70.78702203499925,42.75324938069977
2021-11,10.455702974700218,-6.259063240074932
2021-12,4.792350805055751,-18.241793130494486
2022-01,38.70428403220777,-21.062248411945014
2022-02,6.130842750153452,-2.0032413236952658
2022-03,0.0058940409262189155,8.250826446280982
2022-04,-9.989924296886967,-15.154419595314177
2022-05,26.28539626797075,-16.20708973593093
2022-06,40.1888784512662,-37.257072932759776
2022-07,-17.995021146252892,17.00880213332489
2022-08,4.854693609631645,-14.608495586730433
2022-09,-24.29295853668148,-2.5870657676295976
2022-10,-9.199166515654321,5.873097189695549
2022-11,28.9220692892211,-17.651297358256997
2022-12,-10.101416728178322,-3.386815293490387
2023-01,55.52912243622139,38.10511643608133
2023-02,2.305634660681168,1.4503331711841028
2023-03,38.00057452999187,22.28548547681914
2023-04,0.8128603558046424,2.453489611006577
2023-05,-16.360132826750768,-5.3240991050148425
2023-06,14.59593647026173,12.471730898474322
2023-07,-9.046107045855962,-3.309142190816291
2023-08,-0.3703248818301485,-7.0408168840552925
2023-09,-27.23141519876155,3.3937548676741427
2023-10,39.948258927774944,27.864104683512004
2023-11,15.91895845438273,9.479802756951498
2023-12,19.74986680244955,12.43416684402632
2024-01,-10.276376600105335,1.078228416891443
2024-02,89.43986655799081,44.461594422124136
2024-03,20.854464082190386,13.611429127051505
2024-04,-31.15772644452524,-9.237661001961134
2024-05,-6.183831888680462,13.64434300671459
2024-06,-10.597751036866555,-9.80126422534346
2024-07,21.787261015642056,5.42174178823838
2024-08,-9.768823312728667,-8.353027802227214
2024-09,12.314128365363027,11.0874766672323
2024-10,-8.389069874435249,13.590004027892125
2024-11,69.36015309057751,38.18284990693811
2024-12,8.329135315604134,-4.038380495865732
2025-01,5.162244698724643,11.119939865132968
2025-02,10.891154656373164,-17.792380775089978
2025-03,-3.100414353525063,-2.6366382567084954
2025-04,16.0509603978305,14.392657810966828
2025-05,18.403904181920815,10.117909481304373
2025-06,-6.845568184690699,4.085651896966575
2025-07,20.214611707000405,10.280393328106904
2025-08,-4.908178974955684,-5.231164178101053
2025-09,-14.645546485376343,5.824673771236035
2025-10,-4.9008677444590285,-4.308771228312969
2025-11,33.35206012735041,-17.16641401801754
2025-12,-1.5850862465229585,1.443149425287344
2026-01,18.701711438967834,-4.260827705697913
2026-02,22.141522630623335,-16.42576750921488
2026-03,-19.390381984146224,0.6250216158424438
2026-04,14.21536879688389,11.587740512141314
2026-05,14.035332362241451,-3.164938158898925
2026-06,30.317036348856103,-17.666644109088452
