CANDLE_START,PROFIT_PORTFOLIO,PROFIT_BTC
2018-03-08,0.0,0.0
2018-03-09,11.718764282072582,-5.803015520172204
2018-03-10,13.058968582994954,-6.466671360605117
2018-03-11,29.28726237170255,-14.50276104165201
2018-03-12,6.76459894416761,-3.3497621179050245
2018-03-13,14.195440705404858,-7.029441052515109
2018-03-14,13.34313739429995,-6.607388929681448
2018-03-15,38.1038079433206,-18.868626721250457
2018-03-16,38.5261002654815,-19.077741679155903
2018-03-17,33.55385699747922,-16.61553626570374
2018-03-18,46.04570669472468,-22.801375994528215
2018-03-19,33.64018419176416,-16.65828463372193
2018-03-20,29.14609201869542,-14.432854886892851
2018-03-21,19.974690897863727,-9.891268268640797
2018-03-22,18.663533158783125,-9.241995996741066
2018-03-23,26.63143162987774,-13.18762007262194
2018-03-24,20.93972736856429,-10.369144730886445
2018-03-25,28.476192991044304,-14.101127551071734
2018-03-26,31.933140095833306,-15.812973375310554
2018-03-27,35.84914475140815,-17.75213993301079
2018-03-28,43.66490423775117,-21.622426296784315
2018-03-29,40.277425134010265,-19.944980335750724
2018-03-30,63.10111656608698,-31.247045333386975
2018-03-31,59.85826090312462,-29.641215461833255
2018-04-01,60.343521296411,-29.881511582293136
2018-04-02,60.09469585406029,-29.758295698005426
2018-04-03,59.18775250704326,-29.30918637282611
2018-04-04,51.415258179247736,-25.460324485259356
2018-04-05,65.73399443037253,-32.55082026574397
2018-04-06,63.67595411861963,-31.531699172190425
2018-04-07,67.37380487616613,-33.36283808929883
2018-04-08,60.77251667130462,-30.093945825244678
2018-04-09,58.53796263759028,-28.987416892143354
2018-04-10,64.5176950436003,-31.948520906466577
2018-04-11,62.59635638303273,-30.997093110974777
2018-04-12,61.158246887650726,-30.284955591989466
2018-04-13,41.456553046537444,-20.52887275068147
2018-04-14,41.26825820159124,-20.435631016204145
2018-04-15,38.06582397783522,-18.849817439322468
2018-04-16,34.62446904001515,-15.619750751868356
2018-04-17,23.97849096391755,-18.979571309307065
2018-04-18,19.87824523901269,-20.273589555316388
2018-04-19,27.134708096737786,-17.98348404228567
2018-04-20,33.39933537763393,-16.00639716754343
2018-04-21,48.201333994171385,-11.334956094911444
2018-04-22,48.25073454507387,-11.31936551363421
2018-04-23,48.26507664049715,-11.314839215844055
2018-04-24,59.51501629053135,-7.764411229241909
2018-04-25,70.98773648947414,-4.143674750299239
2018-04-26,47.724220286423076,-11.485530934730786
2018-04-27,60.80102418015368,-7.358553194057473
2018-04-28,54.42006656971302,-9.372353373097686
2018-04-29,67.0057333735036,-5.400376185638568
2018-04-30,67.48380322094688,-5.249499592633203
